periodo,IGAE (índice),Var. mensual desest. (%),Var. anual original (%),Act. primarias (índice),Var. anual act. primarias (%),Act. secundarias (índice),Var. anual act. secundarias (%),Act. terciarias (índice),Var. anual act. terciarias (%)
Dic 16,99.785654,,0.023359,127.894948,0.006029,97.599624,-0.002185,99.461382,0.039474
Ene 17,95.147374,,0.037196,110.502725,0.130261,97.130162,0.017417,93.165593,0.043532
Feb 17,93.328228,,0.006502,84.591984,-0.031142,96.184836,-0.008322,92.192273,0.017538
Mar 17,99.882301,,0.061141,74.489695,0.065914,104.733798,0.060984,98.541129,0.061036
Abr 17,94.251004,,-0.01565,91.616301,0.013248,96.800261,-0.034845,92.949709,-0.005507
May 17,99.160622,,0.032922,98.553701,0.013188,101.46142,0.019476,97.88749,0.042154
Jun 17,99.894686,,0.025788,114.403624,0.051198,101.286074,0.013194,98.296001,0.031677
Jul 17,96.514012,,0.011737,96.553615,0.040604,99.458498,0.001294,94.83922,0.016453
Ago 17,99.228381,,0.024219,81.902677,-0.059252,102.62147,0.014684,98.26622,0.034245
Sep 17,95.757485,,0.000212,73.895596,0.019485,98.524626,-0.006057,95.403607,0.003106
Oct 17,99.456412,,0.018367,85.903268,0.019043,101.93999,0.005313,98.800713,0.026143
Nov 17,102.7989,,0.019329,129.322086,0.107443,100.712774,-0.002954,102.506244,0.026392
Dic 17,100.824253,,0.010408,128.466497,0.004469,97.162415,-0.00448,101.364318,0.019132
Ene 18,97.40575,,0.023736,112.036056,0.013876,97.727119,0.006146,96.408116,0.034804
Feb 18,95.318709,,0.021328,92.132857,0.089144,96.207781,0.000239,94.99117,0.030359
Mar 18,98.983662,,-0.008997,77.899629,0.045777,100.211421,-0.04318,99.46088,0.009334
Abr 18,98.914811,,0.049483,96.62117,0.054629,99.772296,0.030703,98.555508,0.06031
May 18,102.012664,,0.028762,108.580501,0.101739,102.506023,0.010296,101.366509,0.035541
Jun 18,101.245537,,0.013523,111.263949,-0.027444,101.574292,0.002846,100.500645,0.022429
Jul 18,100.145819,,0.03763,98.317049,0.018264,101.26733,0.018187,99.61064,0.050311
Ago 18,101.605918,,0.02396,81.073479,-0.010124,103.223932,0.005871,101.830724,0.036274
Sep 18,97.997757,,0.023395,73.663095,-0.003146,100.125991,0.016253,98.144567,0.02873
Oct 18,102.342492,,0.029019,82.239963,-0.042645,102.992077,0.010321,103.093453,0.043448
Nov 18,104.005919,,0.011742,131.744683,0.018733,99.56947,-0.011352,104.980618,0.024139
Dic 18,100.020963,,-0.007967,134.427569,0.046402,94.822268,-0.024085,101.05717,-0.00303
Ene 19,98.524359,,0.011484,112.521216,0.00433,97.336063,-0.004002,98.419566,0.020864
Feb 19,95.935875,,0.006475,97.178992,0.05477,95.341455,-0.009005,96.204272,0.012771
Mar 19,99.929814,,0.009559,79.537778,0.021029,101.053391,0.008402,100.427658,0.00972
Abr 19,97.675476,,-0.012529,94.066762,-0.026437,98.083349,-0.016928,97.644837,-0.00924
May 19,101.335635,,-0.006637,108.360527,-0.002026,100.34984,-0.021035,101.504236,0.001359
Jun 19,99.865845,,-0.013627,112.988366,0.015498,99.349114,-0.021907,99.428287,-0.01067
Jul 19,100.509023,,0.003627,100.878905,0.026057,100.158436,-0.01095,100.687564,0.010811
Ago 19,100.135087,,-0.014476,79.071697,-0.024691,101.554913,-0.016169,100.502052,-0.013048
Sep 19,97.492697,,-0.005154,78.249514,0.062262,97.596152,-0.025267,98.506007,0.003683
Oct 19,100.541717,,-0.017596,87.117466,0.059308,99.080742,-0.037977,102.119501,-0.009447
Nov 19,102.895474,,-0.010677,127.442862,-0.032653,96.914688,-0.026663,104.925215,-0.000528
Dic 19,99.932557,,-0.000884,129.151838,-0.039246,92.289438,-0.026711,102.64629,0.015725
Ene 20,98.307236,,-0.002204,112.610357,0.000792,96.074603,-0.01296,98.778605,0.003648
Feb 20,95.260162,,-0.007043,86.736187,-0.107459,93.642506,-0.01782,96.653942,0.004674
Mar 20,96.923638,,-0.030083,85.104315,0.069986,96.402639,-0.046023,97.878065,-0.025387
Abr 20,76.331455,,-0.21852,93.78846,-0.002959,69.748162,-0.288889,79.098464,-0.189937
May 20,76.902247,,-0.241113,109.215863,0.007893,70.213329,-0.300314,78.901564,-0.222677
Jun 20,86.481436,,-0.134024,109.669579,-0.029373,85.211241,-0.142305,85.9111,-0.135949
Jul 20,90.455503,,-0.100026,109.454861,0.085012,89.889731,-0.102525,89.718392,-0.108943
Ago 20,91.530837,,-0.085926,81.334296,0.028615,93.908845,-0.07529,90.748104,-0.097052
Sep 20,92.965862,,-0.046433,82.22575,0.050815,93.825778,-0.038632,93.075749,-0.055126
Oct 20,96.354908,,-0.041643,91.907443,0.054983,97.611575,-0.014828,95.888847,-0.061013
Nov 20,99.300853,,-0.034935,129.898733,0.01927,95.369029,-0.015949,99.829617,-0.048564
Dic 20,97.984786,,-0.019491,126.246526,-0.022495,93.000159,0.007701,99.241736,-0.033168
Ene 21,93.118089,,-0.052785,113.69979,0.009674,92.246218,-0.039848,92.466698,-0.0639
Feb 21,90.873041,,-0.046054,89.899869,0.036475,89.25462,-0.046858,91.846586,-0.049738
Mar 21,99.807293,,0.029752,83.213509,-0.022218,99.873795,0.036007,100.69399,0.02877
Abr 21,96.193974,,0.260214,94.773452,0.010502,95.643703,0.371272,96.58569,0.221082
May 21,98.212221,,0.277105,117.21937,0.073282,95.68477,0.362772,98.588989,0.249519
Jun 21,98.427244,,0.138131,119.063951,0.085661,95.121875,0.116307,99.155114,0.15416
Jul 21,97.305613,,0.075729,108.099889,-0.012379,95.789323,0.065631,97.565556,0.087464
Ago 21,96.061934,,0.049504,82.735416,0.017227,97.830058,0.041756,95.800015,0.05567
Sep 21,93.724242,,0.008158,78.444665,-0.045984,93.634372,-0.00204,94.626547,0.016662
Oct 21,96.266563,,-0.000917,87.994482,-0.042575,96.941775,-0.006862,96.34387,0.004745
Nov 21,101.089458,,0.018012,137.041654,0.054988,96.199925,0.008712,101.863939,0.020378
Dic 21,99.655911,,0.017055,136.137063,0.078343,95.256275,0.024259,100.122643,0.008876
Ene 22,94.772383,,0.017766,111.802409,-0.016688,95.945381,0.040101,93.157297,0.007469
Feb 22,93.60069,,0.030016,88.303633,-0.017756,93.565783,0.048302,93.915628,0.022527
Mar 22,101.591719,,0.017879,88.196076,0.059877,103.683743,0.038148,101.149663,0.004525
Abr 22,98.481422,,0.02378,97.334245,0.02702,99.408568,0.039363,98.018678,0.014836
May 22,101.619992,,0.034698,121.538193,0.036844,100.75046,0.052941,101.004238,0.024498
Jun 22,100.245379,,0.018472,111.098091,-0.066904,99.121053,0.042043,100.279416,0.011339
Jul 22,99.70265,,0.024634,102.275817,-0.053877,99.661603,0.040425,99.582611,0.020674
Ago 22,101.692771,,0.058617,84.991352,0.027267,103.676191,0.059758,101.496578,0.059463
Sep 22,98.851549,,0.054706,83.614725,0.065907,98.936671,0.056628,99.65207,0.053109
Oct 22,100.790922,,0.046998,91.043144,0.034646,101.61755,0.048233,100.864432,0.046921
Nov 22,105.840784,,0.047001,145.06321,0.058534,101.65439,0.056699,106.033663,0.040934
Dic 22,103.995015,,0.043541,142.087717,0.043711,99.820181,0.047912,104.244267,0.041166
Ene 23,99.333044,,0.048122,108.036667,-0.033682,99.347816,0.035462,98.839757,0.060999
Feb 23,97.086805,,0.037245,95.609243,0.082733,96.53698,0.031755,97.481445,0.037968
Mar 23,104.12209,,0.024907,86.192482,-0.022717,106.175823,0.024035,103.954383,0.027728
Abr 23,100.253502,,0.017994,98.429254,0.01125,100.316308,0.009131,100.319458,0.023473
May 23,105.869797,,0.041821,117.938437,-0.029618,105.098256,0.043154,105.635695,0.045854
Jun 23,104.089404,,0.038346,112.566384,0.013216,102.997649,0.03911,104.237295,0.039469
Jul 23,102.785593,,0.030921,102.310246,0.000337,102.751426,0.031003,102.831484,0.032625
Ago 23,105.066281,,0.033174,86.957766,0.023137,106.437948,0.026638,105.29598,0.037434
Sep 23,102.623346,,0.038156,83.149663,-0.005562,102.971267,0.04078,103.510631,0.03872
Oct 23,105.333122,,0.045066,93.722205,0.029426,107.393644,0.056842,104.80953,0.039113
Nov 23,107.716653,,0.017723,126.692859,-0.126637,104.128817,0.024342,108.697484,0.025122
Dic 23,104.537535,,0.005217,139.993818,-0.014737,99.20692,-0.006144,105.590197,0.012911
Ene 24,101.705954,,0.023888,95.979116,-0.111606,101.524836,0.021913,102.12789,0.033267
Feb 24,101.369399,,0.044111,101.435121,0.060934,98.545858,0.020809,102.969621,0.0563
Mar 24,102.722816,,-0.013439,90.563409,0.050711,101.820844,-0.041017,103.912597,-0.000402
Abr 24,105.729093,,0.054617,97.863208,-0.005751,104.244043,0.039154,107.010886,0.066701
May 24,107.473172,,0.015145,119.081483,0.009692,104.908628,-0.001804,108.283214,0.025063
Jun 24,103.563014,,-0.005057,111.755734,-0.007202,101.07199,-0.018696,104.521583,0.002727
Jul 24,106.832965,,0.039377,119.648034,0.169463,104.031112,0.012454,107.710576,0.047447
Ago 24,105.571206,,0.004806,87.549516,0.006805,104.766142,-0.015707,107.032539,0.016492
Sep 24,102.548587,,-0.000728,85.64654,0.030029,101.803994,-0.011336,103.913192,0.003889
Oct 24,106.14003,,0.007661,90.781662,-0.031375,105.048146,-0.02184,107.615909,0.026776
Nov 24,108.058006,0.004,0.003169,127.387283,0.005481,102.142961,-0.019071,110.341115,0.015121
Dic 24,103.984594,-0.01,-0.005289,130.841954,-0.065373,96.126443,-0.031051,106.95206,0.012898
Ene 25,101.348475,-0.002,-0.003515,108.943053,0.13507,97.702958,-0.037645,102.996165,0.008502
Feb 25,100.491729,0.01,-0.008658,95.724784,-0.056295,97.005598,-0.01563,102.737566,-0.002254
Mar 25,105.467563,-0.004,0.02672,95.721037,0.05695,104.062184,0.022013,106.808873,0.027872
Abr 25,104.009094,0.005,-0.016268,95.302935,-0.026162,100.203866,-0.038757,106.655652,-0.00332
May 25,107.407876,0.0,-0.000608,119.174443,0.000781,104.416195,-0.004694,108.451731,0.001556
Jun 25,104.50353,0.002,0.009082,110.744145,-0.009052,100.870423,-0.001994,106.219602,0.016246
Jul 25,105.661466,-0.009,-0.010966,102.479989,-0.143488,101.579342,-0.023568,108.157522,0.00415
Ago 25,104.822875,0.006,-0.007088,99.71703,0.138979,101.387945,-0.032245,107.058509,0.000243
Sep 25,103.226895,-0.006,0.006615,88.850768,0.037412,99.561776,-0.022025,106.109752,0.021138
Oct 25,107.920791,0.01,0.016777,99.853883,0.099935,104.811037,-0.002257,110.13668,0.023424
Nov 25,107.829456,-0.002,-0.002115,126.034283,-0.010621,101.45158,-0.006769,110.438117,0.000879
Dic 25,107.41679,0.004,0.033007,148.33748,0.133715,98.380626,0.02345,110.269919,0.031022
Ene 26,100.966772,-0.009,-0.003766,106.962618,-0.018179,96.713674,-0.010125,103.048661,0.00051
Feb 26,100.142756,0.001,-0.003473,94.807533,-0.009582,95.976523,-0.010608,102.806579,0.000672
Mar 26,106.738735,0.004,0.012053,96.176647,0.00476,102.854397,-0.011606,109.53363,0.025511
Abr 26,106.613699,0.012,0.025042,104.643588,0.09801,102.558775,0.023501,109.026816,0.022232
May 26,108.549177,-0.003,0.010626,125.659794,0.054419,103.810617,-0.0058,110.287602,0.016928
Jun 26,107.449582,-0.001,0.028191,111.293453,0.00496,102.597063,0.017117,109.991856,0.035514
