periodo,IGAE (índice),Var. mensual desest. (%),Var. anual original (%),Act. primarias (índice),Var. anual act. primarias (%),Act. secundarias (índice),Var. anual act. secundarias (%),Act. terciarias (índice),Var. anual act. terciarias (%)
Sep 98,69.801926,,0.054871,58.500823,0.060374,82.180975,0.062125,63.399739,0.049315
Oct 98,68.823438,,0.025759,56.938304,-0.084209,80.766192,0.030937,62.701621,0.028227
Nov 98,68.305013,,0.026619,74.454858,-0.027412,77.800059,0.025662,62.568827,0.031096
Dic 98,70.047683,,0.028107,77.851796,0.05081,80.025223,0.034788,63.945259,0.021919
Ene 99,68.307022,,0.023985,79.59834,0.327867,80.092189,0.020196,60.983515,0.009976
Feb 99,67.574267,,0.0202,67.359069,0.002145,79.833285,0.013536,60.622644,0.026392
Mar 99,71.23873,,0.025803,69.800873,-0.006681,82.741734,0.019168,64.78467,0.032707
Abr 99,69.06278,,0.019853,57.988808,-0.050934,79.643155,0.020069,63.669657,0.023572
May 99,70.354374,,0.022235,73.246966,0.111613,79.265163,0.004235,65.131538,0.029807
Jun 99,70.281521,,0.026265,65.821793,-0.106839,78.385628,0.019114,65.926525,0.039812
Jul 99,70.439129,,0.020788,71.763599,-0.019168,81.363096,0.01377,64.16009,0.028527
Ago 99,69.79525,,0.030181,57.661164,-0.075109,81.968013,0.018608,63.556649,0.044891
Sep 99,72.359571,,0.036641,57.29506,-0.020611,85.139378,0.035999,65.939404,0.040058
Oct 99,70.440122,,0.02349,56.805888,-0.002326,81.165321,0.004942,65.107371,0.038368
Nov 99,71.265052,,0.043336,73.973426,-0.006466,79.894684,0.026923,66.212188,0.05823
Dic 99,72.415687,,0.033806,79.34292,0.019153,81.67728,0.020644,66.768803,0.044156
Ene 00,71.985137,,0.053847,81.235906,0.020573,83.237429,0.03927,65.078007,0.067141
Feb 00,72.253367,,0.069244,61.31254,-0.089766,85.269309,0.068092,65.469327,0.079948
Mar 00,74.651021,,0.047899,64.481949,-0.076201,87.528344,0.05785,67.902727,0.04813
Abr 00,71.374765,,0.033477,58.73027,0.012786,81.827028,0.027421,66.141912,0.038829
May 00,75.420777,,0.072013,74.968563,0.023504,84.793802,0.069749,70.121718,0.076617
Jun 00,74.949758,,0.066422,76.509821,0.162378,84.292738,0.07536,69.555657,0.055048
Jul 00,74.032753,,0.051017,64.191878,-0.105509,87.15508,0.071187,67.127001,0.046242
Ago 00,74.84266,,0.072317,57.712332,0.000887,88.529635,0.080051,68.022276,0.070262
Sep 00,75.716598,,0.046394,55.274623,-0.035264,89.060045,0.04605,69.27585,0.050599
Oct 00,74.41419,,0.056418,62.026246,0.091898,85.611547,0.05478,68.7438,0.055853
Nov 00,74.316521,,0.042819,75.001265,0.013895,82.617453,0.034079,69.563111,0.050609
Dic 00,73.079127,,0.009162,85.931118,0.083034,80.314881,-0.01668,68.252919,0.022228
Ene 01,73.603772,,0.022486,74.30098,-0.085368,85.763385,0.030346,66.657784,0.024275
Feb 01,71.051256,,-0.016637,60.693888,-0.01009,83.259179,-0.023574,64.693698,-0.011847
Mar 01,74.40388,,-0.003311,66.605335,0.03293,85.032301,-0.028517,68.800984,0.013229
Abr 01,71.922989,,0.007681,65.206964,0.110279,80.118479,-0.02088,67.641787,0.022677
May 01,74.85536,,-0.007497,76.724288,0.023419,82.626482,-0.02556,70.33693,0.003069
Jun 01,73.787976,,-0.015501,83.591378,0.092557,81.296245,-0.035549,68.976813,-0.008322
Jul 01,72.88881,,-0.015452,69.422554,0.081485,83.375251,-0.043369,67.125204,-2.7e-05
Ago 01,74.038727,,-0.010742,66.714183,0.155978,85.755928,-0.031331,67.790953,-0.003401
Sep 01,73.816574,,-0.025094,60.804485,0.100043,86.013432,-0.034209,67.613201,-0.024
Oct 01,73.412852,,-0.013456,65.888013,0.06226,83.141048,-0.028857,68.306072,-0.006368
Nov 01,73.048047,,-0.017069,88.909092,0.185435,80.474936,-0.025933,67.945627,-0.023252
Dic 01,72.288312,,-0.010821,85.278096,-0.007599,79.570791,-0.009265,67.427886,-0.012088
Ene 02,71.112734,,-0.033844,76.060818,0.023685,81.315025,-0.051868,65.041758,-0.024244
Feb 02,68.966555,,-0.029341,66.179852,0.090387,77.786548,-0.06573,64.111699,-0.008996
Mar 02,70.535947,,-0.051986,64.961237,-0.024684,78.347166,-0.078619,66.409441,-0.03476
Abr 02,74.858038,,0.040808,65.887144,0.010431,83.139512,0.037707,70.653616,0.044526
May 02,74.712776,,-0.001905,75.950279,-0.010088,80.696296,-0.02336,71.244954,0.01291
Jun 02,72.86338,,-0.01253,79.721721,-0.046293,79.330815,-0.024176,68.807526,-0.002454
Jul 02,73.619612,,0.010026,72.112698,0.03875,82.450738,-0.011089,68.687132,0.023269
Ago 02,73.891727,,-0.001985,64.51303,-0.032994,84.598299,-0.013499,68.332473,0.007988
Sep 02,73.9566,,0.001897,59.053448,-0.028798,84.920914,-0.012702,68.558716,0.013984
Oct 02,74.951193,,0.020955,66.292062,0.006132,85.551655,0.028994,69.412124,0.016193
Nov 02,73.359601,,0.004265,82.358957,-0.073672,81.103589,0.007812,68.459334,0.007561
Dic 02,73.873537,,0.021929,84.43224,-0.009919,80.523869,0.011978,69.507636,0.030844
Ene 03,72.5708,,0.020504,78.772727,0.035654,80.862039,-0.005571,67.515524,0.038034
Feb 03,70.941246,,0.028633,67.587174,0.021265,80.452379,0.034271,65.725404,0.02517
Mar 03,73.522296,,0.042338,66.484656,0.023451,82.966723,0.058963,68.549566,0.032226
Abr 03,73.556142,,-0.017392,67.365467,0.022437,81.70985,-0.017196,69.269406,-0.019591
May 03,74.759866,,0.00063,75.355371,-0.007833,81.980533,0.015914,70.625063,-0.008701
Jun 03,74.308724,,0.019836,87.499107,0.097557,81.687081,0.029702,69.382661,0.008359
Jul 03,74.207328,,0.007983,77.239822,0.071099,83.636485,0.014381,68.682243,-7.1e-05
Ago 03,72.61894,,-0.017225,64.196183,-0.004911,83.77586,-0.009722,66.750612,-0.023149
Sep 03,74.302478,,0.004677,61.471992,0.040955,85.201618,0.003305,68.826142,0.003901
Oct 03,74.7758,,-0.00234,61.252991,-0.076013,85.743189,0.002239,69.299267,-0.001626
Nov 03,72.965023,,-0.005379,88.913289,0.079583,79.47131,-0.020126,68.380683,-0.001149
Dic 03,76.157523,,0.030918,90.713362,0.074392,83.002564,0.030782,71.458332,0.028064
Ene 04,73.610181,,0.014322,87.815448,0.114795,83.358998,0.030879,67.28106,-0.003473
Feb 04,72.55727,,0.02278,75.149784,0.111894,82.125681,0.020799,66.977595,0.019052
Mar 04,77.760942,,0.057651,68.220502,0.026109,88.32486,0.064582,72.291732,0.054591
Abr 04,76.014979,,0.033428,70.216757,0.042326,85.657746,0.048316,70.860533,0.02297
May 04,76.995096,,0.029899,77.80266,0.032477,84.455265,0.030187,72.712432,0.029556
Jun 04,77.969019,,0.049258,84.827823,-0.030529,85.827217,0.050683,73.12313,0.053911
Jul 04,75.763272,,0.020968,74.945761,-0.0297,85.901364,0.02708,70.049976,0.019914
Ago 04,75.86297,,0.044672,61.588411,-0.040622,86.586483,0.033549,70.56685,0.057172
Sep 04,76.749865,,0.032938,59.752816,-0.027967,88.620931,0.040132,70.953565,0.03091
Oct 04,76.5424,,0.023625,64.657806,0.055586,87.849651,0.024567,70.781544,0.02139
Nov 04,77.597182,,0.063485,93.311602,0.049467,83.925215,0.056044,73.127126,0.069412
Dic 04,78.613752,,0.032252,93.349471,0.02906,85.687061,0.032342,73.774874,0.032418
Ene 05,74.599199,,0.013436,80.668536,-0.081386,84.628837,0.015233,68.563829,0.019066
Feb 05,73.878798,,0.018214,71.936699,-0.042756,83.567964,0.017562,68.483164,0.022479
Mar 05,76.063422,,-0.02183,63.412449,-0.070478,86.322379,-0.022672,70.940735,-0.018688
Abr 05,79.215658,,0.042106,68.462733,-0.02498,89.603812,0.046068,73.913839,0.043089
May 05,79.088215,,0.027185,77.094491,-0.009102,87.302825,0.033717,74.533062,0.025039
Jun 05,78.087975,,0.001526,75.010521,-0.115732,86.655505,0.009651,73.392726,0.003687
Jul 05,76.108326,,0.004554,80.761168,0.077595,84.935666,-0.011242,70.834825,0.011204
Ago 05,78.495942,,0.034707,64.655984,0.049808,89.323842,0.031614,73.116313,0.036128
Sep 05,79.097561,,0.030589,59.118642,-0.010613,91.008641,0.026943,73.444656,0.035109
Oct 05,78.968515,,0.031696,62.916581,-0.02693,90.454707,0.029654,73.338184,0.03612
Nov 05,80.25075,,0.034197,90.476194,-0.030386,88.156605,0.050419,75.190229,0.028213
Dic 05,81.090409,,0.031504,87.446821,-0.063232,89.74644,0.047374,75.81931,0.027712
Ene 06,79.264683,,0.062541,88.651394,0.098959,89.182075,0.053802,73.108255,0.06628
Feb 06,76.806691,,0.039631,71.40738,-0.007358,86.815443,0.03886,71.422127,0.042915
Mar 06,82.035548,,0.078515,63.71268,0.004735,94.586804,0.095739,75.926737,0.070284
Abr 06,79.666903,,0.005696,71.13221,0.038992,90.315075,0.007938,74.093801,0.002435
May 06,84.410932,,0.067301,82.385426,0.068629,93.231129,0.067905,79.513552,0.066823
Jun 06,83.279664,,0.066485,89.92249,0.198798,92.531237,0.067806,77.654316,0.058066
Jul 06,80.640959,,0.059555,79.947652,-0.010073,91.966189,0.082775,74.246402,0.048162
Ago 06,82.410438,,0.049869,63.548551,-0.017128,94.748232,0.060727,76.452911,0.045634
Sep 06,82.16254,,0.038749,59.738748,0.010489,95.009703,0.043964,76.114112,0.036346
Oct 06,83.526199,,0.057715,73.131365,0.162354,95.364305,0.054277,77.380798,0.055123
Nov 06,82.727405,,0.030861,91.770545,0.014306,91.500709,0.037934,77.240006,0.027261
Dic 06,82.525566,,0.017698,103.250428,0.180722,89.575409,-0.001906,77.366351,0.020404
Ene 07,80.898322,,0.02061,85.252025,-0.038345,90.729898,0.017356,75.071041,0.026848
Feb 07,78.349342,,0.020085,76.785521,0.075316,88.540964,0.019876,72.647217,0.017153
Mar 07,83.830294,,0.021878,70.310842,0.103561,96.310513,0.018224,77.494227,0.020645
Abr 07,81.968037,,0.028884,73.656864,0.035492,92.414613,0.023247,76.496997,0.032435
May 07,85.634108,,0.014491,86.272158,0.047177,94.326795,0.011752,80.660768,0.014428
Jun 07,84.987967,,0.020513,97.299092,0.082033,93.126738,0.006436,79.678943,0.026072
Jul 07,83.281569,,0.032745,84.6917,0.059339,93.414217,0.015745,77.447259,0.043111
Ago 07,84.276008,,0.022638,68.968553,0.085289,94.69212,-0.000592,79.212049,0.036089
Sep 07,83.266926,,0.013441,60.541983,0.013446,94.83696,-0.001818,77.960736,0.024261
Oct 07,86.59398,,0.036728,76.787795,0.049998,97.332085,0.020634,81.04063,0.047296
Nov 07,84.785026,,0.024872,106.571657,0.161284,91.260646,-0.002624,79.892838,0.034345
Dic 07,83.550799,,0.012423,89.805965,-0.130212,90.485325,0.010158,79.263223,0.024518
Ene 08,82.477618,,0.019522,87.999416,0.032227,91.568282,0.00924,77.006127,0.025777
Feb 08,81.216819,,0.036599,75.896374,-0.01158,91.902987,0.037971,75.443062,0.038485
