periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
Nov 97,77.146497,,,76.540821,,0.090188,126.548184,35.945673,72.571017,72.777213,,,,,,,,
Dic 97,77.291768,,,76.942233,,0.087443,125.287265,35.918717,73.095861,72.647591,,,,,,,,
Ene 98,78.244063,,,78.357954,,0.106944,125.008668,35.679296,72.03539,74.739153,,,,,,,,
Feb 98,79.466367,,,79.058457,,0.112142,127.953671,35.244126,75.387899,75.249791,,,,,,,,
Mar 98,79.96356,,,80.830052,,0.113194,127.483136,34.80716,76.803827,75.654104,,,,,,,,
Abr 98,79.636367,,,78.430902,,0.108502,128.379348,34.588262,76.392055,75.514561,,,,,,,,
May 98,79.969516,,,79.473591,,0.104202,128.486694,34.66726,76.448234,75.92107,,,,,,,,
Jun 98,79.042638,,,76.8309,,0.097046,126.357102,34.65553,75.457719,75.188806,,,,,,,,
Jul 98,79.220361,,,79.624887,,0.091795,126.798598,35.073388,76.656529,75.436632,,,,,,,,
Ago 98,79.692819,,,81.156316,,0.087623,126.283699,34.564466,76.592282,76.037159,,,,,,,,
Sep 98,79.524846,,,81.807255,,0.084208,120.871345,34.359541,79.25246,75.636445,,,,,,,,
Oct 98,79.696376,,,80.612665,,0.079247,119.311589,34.466766,78.377881,76.350041,,,,,,,,
Nov 98,79.664443,,,78.304098,,0.073966,128.012619,34.326111,73.534447,76.053999,,,,,,,,
Dic 98,80.373256,,,79.521058,,0.070473,129.029496,35.198149,77.554015,75.96375,,,,,,,,
Ene 99,80.321311,,,80.642572,,0.029179,127.524023,36.969953,80.310254,75.221652,,,,,,,,
Feb 99,80.490002,,,80.128401,,0.021322,125.276126,37.324919,79.687178,75.840636,,,,,,,,
Mar 99,80.627681,,,81.478861,,0.016812,126.877521,37.840798,80.806975,75.756074,,,,,,,,
Abr 99,81.33775,,,80.151942,,0.018087,124.046881,38.325503,78.667421,77.836248,,,,,,,,
