periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
Dic 12,94.305464,,,92.751228,,0.034832,128.708846,86.651843,91.113749,89.287463,,,,,,,,
Ene 13,94.435214,,,91.217933,,-0.005596,130.990037,88.440327,94.214056,88.110653,,,,,,,,
Feb 13,95.139506,,,91.131967,,0.001535,129.9798,87.984623,95.773321,88.813133,,,,,,,,
Mar 13,94.153026,,,95.396112,,-0.000474,128.690547,86.152478,94.61398,88.024593,,,,,,,,
Abr 13,93.292634,,,92.821179,,-0.005851,128.344167,86.874687,90.110312,88.009098,,,,,,,,
May 13,94.780978,,,95.987782,,-0.003871,127.844326,88.693439,95.243667,88.922866,,,,,,,,
Jun 13,93.834642,,,94.144786,,-0.005598,127.368995,87.921327,90.970548,88.62961,,,,,,,,
Jul 13,94.003846,,,95.926325,,-0.007921,127.6655,88.625076,91.672324,88.739751,,,,,,,,
Ago 13,94.914819,,,95.996403,,-0.00635,127.80741,88.685425,93.090527,89.665292,,,,,,,,
Sep 13,94.008397,,,93.828037,,-0.008199,127.599663,87.980431,92.545674,88.243676,,,,,,,,
Oct 13,95.011957,,,98.504755,,-0.006002,129.010135,88.273033,93.903208,89.400093,,,,,,,,
Nov 13,94.746555,,,95.086563,,-0.005511,129.853288,89.125001,93.467075,88.927705,,,,,,,,
Dic 13,95.043652,,,93.193036,,-0.004674,130.318365,88.571934,94.827103,88.561273,,,,,,,,
Ene 14,95.12461,,,91.60761,,0.004338,127.971825,92.790653,92.038564,89.98142,,,,,,,,
Feb 14,95.459787,,,91.715117,,0.005368,128.089221,92.075598,95.919039,89.532027,,,,,,,,
Mar 14,96.897447,,,98.299743,,0.013973,127.742963,93.493266,95.601506,91.609429,,,,,,,,
Abr 14,97.462241,,,97.065965,,0.021927,128.628208,94.263572,96.607809,92.037556,,,,,,,,
May 14,97.557219,,,98.838996,,0.023517,128.435021,93.556063,95.440083,92.565378,,,,,,,,
Jun 14,97.813903,,,98.198171,,0.026804,126.933613,93.518166,97.154942,92.65653,,,,,,,,
Jul 14,97.215436,,,98.971795,,0.027524,126.952747,92.683825,92.896251,93.162399,,,,,,,,
Ago 14,96.767019,,,97.960809,,0.026627,126.868291,93.589554,94.955809,91.671444,,,,,,,,
Sep 14,97.404749,,,97.061755,,0.02749,126.294545,93.730927,96.069445,92.279124,,,,,,,,
Oct 14,98.253746,,,101.973191,,0.028302,124.67659,93.754683,99.128649,93.34661,,,,,,,,
Nov 14,98.083949,,,98.444367,,0.028941,124.576316,93.178744,96.819308,93.771556,,,,,,,,
Dic 14,97.887262,,,95.760173,,0.028827,123.629622,94.643313,97.957134,93.264985,,,,,,,,
Ene 15,97.511617,,,93.996208,,0.026024,122.243814,94.497858,96.471478,93.364158,,,,,,,,
Feb 15,98.17715,,,94.471278,,0.028039,125.770737,93.555652,93.998932,94.709646,,,,,,,,
Mar 15,97.659335,,,99.24695,,0.021616,122.658503,93.827945,94.622931,93.936265,,,,,,,,
Abr 15,98.741342,,,98.237528,,0.019175,120.011533,94.207886,99.561244,94.963938,,,,,,,,
May 15,97.86853,,,99.038164,,0.015628,119.148159,92.492146,96.418079,94.523482,,,,,,,,
Jun 15,98.346397,,,98.825824,,0.014045,120.399022,92.509882,96.921418,94.986252,,,,,,,,
Jul 15,99.430547,,,100.954292,,0.014933,120.474214,93.595186,102.979527,95.011551,,,,,,,,
Ago 15,99.76756,,,101.386145,,0.017468,121.17096,95.089233,101.140083,95.730718,,,,,,,,
Sep 15,101.853262,,,101.307168,,0.020402,120.548212,95.564835,105.469725,97.21202,,,,,,,,
Oct 15,99.733293,,,103.353409,,0.019676,120.242736,96.381219,96.491124,97.070284,,,,,,,,
Nov 15,99.00288,,,99.318382,,0.018686,119.0073,96.324143,96.934909,96.032196,,,,,,,,
Dic 15,99.461935,,,97.197042,,0.018383,118.806871,95.768212,97.935338,96.685305,,,,,,,,
Ene 16,99.394896,,,96.123264,,0.022652,119.367379,92.309938,99.326686,96.086099,,,,,,,,
Feb 16,99.519783,,,95.872076,,0.018716,120.36462,93.51769,99.520564,96.066133,,,,,,,,
Mar 16,98.753668,,,100.515277,,0.016659,119.057924,93.051241,100.164615,95.106259,,,,,,,,
Abr 16,98.700481,,,97.863572,,0.011452,117.545889,92.860943,99.667979,95.226903,,,,,,,,
May 16,98.96791,,,100.111723,,0.011321,117.095904,94.337397,100.739074,95.320003,,,,,,,,
Jun 16,98.679004,,,99.393172,,0.010383,115.94328,94.298951,99.716106,95.638222,,,,,,,,
Jul 16,98.692964,,,100.012819,,0.007473,115.949566,94.904747,98.530538,95.708479,,,,,,,,
Ago 16,98.79132,,,100.622353,,0.005538,114.317412,93.768899,99.010452,96.310334,,,,,,,,
Sep 16,99.150011,,,98.736988,,0.002015,114.214443,93.08358,99.819543,96.129089,,,,,,,,
Oct 16,99.101706,,,102.264563,,0.000705,114.607095,94.017415,100.128209,96.330015,,,,,,,,
Nov 16,100.245215,,,100.551619,,0.001769,112.53402,93.838322,104.029986,97.169596,,,,,,,,
Dic 16,99.936999,,,97.414706,,0.001809,111.89483,94.790556,99.660284,98.240221,,,,,,,,
Ene 17,100.647104,,,97.704567,,0.016419,111.053703,98.35096,99.325777,99.181458,,,,,,,,
Feb 17,100.194015,,,96.540907,,0.011718,109.754655,97.07543,99.42463,98.82891,,,,,,,,
Mar 17,100.888189,,,102.843872,,0.015681,110.067791,99.853882,100.735545,99.172123,,,,,,,,
Abr 17,99.789186,,,98.686955,,0.01385,110.299649,97.139736,96.455659,99.220475,,,,,,,,
May 17,99.830982,,,100.945703,,0.012724,110.576094,99.140454,97.421891,98.656879,,,,,,,,
Jun 17,99.906264,,,100.889529,,0.01312,109.506673,99.118099,99.779497,98.28416,,,,,,,,
Jul 17,99.123009,,,100.305016,,0.011637,107.796006,96.792245,97.631601,98.273307,,,,,,,,
Ago 17,99.72821,,,101.974765,,0.011865,105.296024,96.95037,100.222575,98.870057,,,,,,,,
Sep 17,98.74822,,,98.511079,,0.010291,98.163738,97.849162,102.56922,97.302345,,,,,,,,
Oct 17,99.864786,,,102.54302,,0.00951,103.864818,94.779538,101.45682,98.987763,,,,,,,,
Nov 17,100.030394,,,100.13489,,0.008255,103.845179,102.120661,98.863096,99.299528,,,,,,,,
Dic 17,100.735973,,,97.829915,,0.00793,103.786157,98.184896,103.704722,99.276518,,,,,,,,
Ene 18,99.842449,-0.00887,-0.007995,97.230667,-0.00485,-0.004849,104.952958,100.360034,101.028118,98.512352,-0.054935,0.020428,0.017139,-0.006746,0.011242,0.022153,-0.02581,-0.007697
Feb 18,100.270556,0.004288,0.000764,96.563993,0.000239,-0.00232,102.426623,101.203769,103.58835,98.608113,-0.066767,0.042527,0.041878,-0.002234,-0.024071,0.008407,0.025342,0.000972
Mar 18,100.325904,0.000552,-0.005573,102.491289,-0.003428,-0.002726,102.129434,98.141742,101.258161,100.187103,-0.072122,-0.017146,0.005188,0.010235,-0.002901,-0.030256,-0.022495,0.016013
Abr 18,98.980182,-0.013414,-0.008107,97.997889,-0.006982,-0.003775,102.591435,101.59353,99.268823,98.116777,-0.069884,0.045849,0.029165,-0.011124,0.004524,0.035171,-0.019646,-0.020665
May 18,100.670536,0.017078,0.00841,101.860489,0.009062,-0.001168,102.772001,97.282732,101.777585,100.2735,-0.070577,-0.018738,0.04471,0.016386,0.00176,-0.042432,0.025272,0.021981
Jun 18,100.491544,-0.001778,0.005858,101.559649,0.006642,0.000146,100.491968,100.022545,100.848539,100.398886,-0.082321,0.009125,0.010714,0.021516,-0.022185,0.028163,-0.009128,0.00125
Jul 18,100.81069,0.003176,0.017026,101.866039,0.015563,0.002362,99.050637,102.191761,102.883486,100.480146,-0.081129,0.055785,0.053793,0.022456,-0.014343,0.021687,0.020178,0.000809
Ago 18,99.977614,-0.008264,0.002501,102.40972,0.004265,0.002613,99.100294,100.347782,97.659684,101.002855,-0.058841,0.035043,-0.025572,0.021572,0.000501,-0.018044,-0.050774,0.005202
Sep 18,101.076582,0.010992,0.023579,101.032592,0.025596,0.005131,98.804157,100.419685,101.225078,101.472236,0.006524,0.02627,-0.013105,0.042855,-0.002988,0.000717,0.036508,0.004647
Oct 18,100.169243,-0.008977,0.003049,102.468927,-0.000723,0.004532,97.445402,98.69544,101.229593,100.517713,-0.061805,0.041316,-0.00224,0.015456,-0.013752,-0.01717,4.5e-05,-0.009407
Nov 18,99.181375,-0.009862,-0.008488,99.17925,-0.009544,0.003253,95.678645,101.730702,92.432297,101.128154,-0.078641,-0.003819,-0.065048,0.018415,-0.018131,0.030754,-0.086904,0.006073
Dic 18,98.923248,-0.002603,-0.017995,95.629534,-0.022492,0.00115,95.367753,97.253628,98.781356,99.916061,-0.081113,-0.009485,-0.047475,0.006442,-0.003249,-0.044009,0.068689,-0.011986
Ene 19,99.079562,0.00158,-0.007641,96.723046,-0.005221,-0.005231,92.710659,93.746134,101.755432,100.000107,-0.116646,-0.065902,0.007199,0.015102,-0.027862,-0.036065,0.030108,0.000841
Feb 19,99.560552,0.004855,-0.007081,95.693784,-0.009012,-0.007115,94.199778,93.862932,99.586047,100.753839,-0.080319,-0.072535,-0.038637,0.02176,0.016062,0.001246,-0.02132,0.007537
Mar 19,98.337062,-0.012289,-0.019824,100.705845,-0.01742,-0.010666,94.600043,92.475841,98.017257,99.784991,-0.073724,-0.057732,-0.032006,-0.004014,0.004249,-0.014778,-0.015753,-0.009616
Abr 19,99.338929,0.010188,0.003624,98.989329,0.010117,-0.005517,93.649435,94.091127,100.089797,101.048012,-0.087161,-0.073847,0.00827,0.029875,-0.010049,0.017467,0.021145,0.012657
May 19,98.424361,-0.009207,-0.022312,99.558391,-0.0226,-0.009011,91.993626,93.365681,95.687246,100.836207,-0.104877,-0.040265,-0.05984,0.005612,-0.017681,-0.00771,-0.043986,-0.002096
Jun 19,99.400048,0.009913,-0.010862,100.248557,-0.01291,-0.009676,94.597848,94.798133,98.180669,101.086005,-0.058653,-0.052232,-0.026454,0.006844,0.028309,0.015342,0.026058,0.002477
Jul 19,98.806011,-0.005976,-0.019886,99.649321,-0.021761,-0.011436,94.588902,93.890621,95.816089,101.116066,-0.045045,-0.081231,-0.068693,0.006329,-9.5e-05,-0.009573,-0.024084,0.000297
Ago 19,98.635232,-0.001728,-0.013427,101.362197,-0.010229,-0.011288,96.173273,95.810156,95.281916,100.760332,-0.029536,-0.045219,-0.024347,-0.002401,0.01675,0.020444,-0.005575,-0.003518
Sep 19,98.553854,-0.000825,-0.024959,98.228365,-0.027756,-0.013126,95.894841,96.244696,93.010484,101.031893,-0.029445,-0.041575,-0.081152,-0.00434,-0.002895,0.004535,-0.023839,0.002695
Oct 19,96.515617,-0.020681,-0.036475,98.457057,-0.039152,-0.01578,94.780675,95.445617,91.267141,98.443811,-0.027346,-0.032928,-0.098414,-0.020632,-0.011619,-0.008303,-0.018744,-0.025616
Nov 19,96.923144,0.004222,-0.022769,96.901307,-0.022968,-0.016427,96.82923,97.165589,92.289445,97.94059,0.012026,-0.044874,-0.001545,-0.03152,0.021614,0.01802,0.011201,-0.005112
Dic 19,96.160238,-0.007871,-0.027931,92.83493,-0.029223,-0.017447,96.485594,95.102505,93.388856,96.970605,0.011721,-0.022119,-0.05459,-0.029479,-0.003549,-0.021233,0.011913,-0.009904
Ene 20,97.317971,0.01204,-0.01778,95.317115,-0.014536,-0.014471,98.432596,95.090113,92.511043,98.589788,0.061718,0.014336,-0.090849,-0.014103,0.020179,-0.00013,-0.0094,0.016698
Feb 20,96.759026,-0.005743,-0.028139,92.798567,-0.030255,-0.022351,97.442775,97.583417,89.583379,98.275897,0.034427,0.039637,-0.100442,-0.024594,-0.010056,0.02622,-0.031647,-0.003184
Mar 20,93.562752,-0.033033,-0.04855,95.980335,-0.046924,-0.030804,97.150351,94.120864,89.801577,94.130505,0.026959,0.017789,-0.083819,-0.056667,-0.003001,-0.035483,0.002436,-0.042181
Abr 20,69.86287,-0.253305,-0.296722,70.065046,-0.292196,-0.096784,90.148848,93.4876,57.649547,67.922253,-0.03738,-0.006414,-0.424022,-0.327822,-0.072069,-0.006728,-0.358034,-0.278425
May 20,69.771021,-0.001315,-0.29112,70.695661,-0.289908,-0.135895,86.230204,82.554973,58.939098,68.491318,-0.06265,-0.115789,-0.384044,-0.320767,-0.043469,-0.116942,0.022369,0.008378
Jun 20,84.888721,0.216676,-0.145989,85.117829,-0.150932,-0.138443,90.997209,84.014217,72.515806,87.13554,-0.038063,-0.113757,-0.261404,-0.138006,0.055282,0.017676,0.230351,0.272213
Jul 20,88.618281,0.043935,-0.103108,89.180905,-0.105053,-0.133625,93.344801,88.105379,72.806261,92.315739,-0.013153,-0.061617,-0.240146,-0.087032,0.025799,0.048696,0.004005,0.05945
Ago 20,91.983464,0.037974,-0.067438,94.708759,-0.06564,-0.124935,94.590793,94.631191,81.088974,94.916708,-0.016454,-0.012305,-0.148957,-0.057995,0.013348,0.074068,0.113764,0.028175
Sep 20,94.269739,0.024855,-0.04347,93.399296,-0.049162,-0.116586,94.610091,91.116528,79.805647,98.871265,-0.013397,-0.053283,-0.141971,-0.021386,0.000204,-0.037141,-0.015826,0.041663
Oct 20,95.493196,0.012978,-0.010593,97.426683,-0.010465,-0.106027,95.378044,90.629875,83.542357,99.428281,0.006303,-0.050455,-0.084639,0.01,0.008117,-0.005341,0.046823,0.005634
Nov 20,95.866335,0.003907,-0.010904,95.986935,-0.009436,-0.097411,95.013151,88.299203,86.408225,99.472444,-0.018755,-0.09125,-0.063726,0.015641,-0.003826,-0.025716,0.034304,0.000444
Dic 20,95.408977,-0.004771,-0.007813,92.414351,-0.00453,-0.090101,94.777731,87.425218,83.963943,100.13184,-0.017701,-0.080726,-0.100921,0.0326,-0.002478,-0.009898,-0.028288,0.006629
Ene 21,94.658642,-0.007864,-0.027326,92.880122,-0.025567,-0.025593,93.867297,72.105158,84.438669,99.638109,-0.04638,-0.241718,-0.087258,0.010633,-0.009606,-0.175236,0.005654,-0.004931
Feb 21,93.658819,-0.010562,-0.03204,89.585265,-0.034627,-0.030019,95.87844,69.629055,87.664332,96.77592,-0.016054,-0.286466,-0.021422,-0.015263,0.021425,-0.03434,0.038201,-0.028726
Mar 21,95.788445,0.022738,0.023788,98.349324,0.024682,-0.011538,96.125061,72.086773,86.598135,100.798651,-0.010554,-0.234104,-0.035672,0.070839,0.002572,0.035297,-0.012162,0.041567
Abr 21,95.607773,-0.001886,0.368506,96.255193,0.373798,0.0647,96.020677,70.818274,87.718365,100.164949,0.065135,-0.242485,0.521579,0.4747,-0.001086,-0.017597,0.012936,-0.006287
May 21,95.094984,-0.005363,0.362958,96.499883,0.365004,0.114664,96.856463,70.353488,88.122354,99.280592,0.123231,-0.147798,0.495143,0.449535,0.008704,-0.006563,0.004606,-0.008829
Jun 21,94.927628,-0.00176,0.11826,94.689402,0.112451,0.114297,96.132279,70.431431,85.31574,99.787239,0.056431,-0.161672,0.176512,0.145196,-0.007477,0.001108,-0.031849,0.005103
Jul 21,95.130094,0.002133,0.073482,95.607144,0.072058,0.108002,97.132288,71.23397,85.112992,99.848551,0.040575,-0.191491,0.169034,0.081598,0.010402,0.011395,-0.002376,0.000614
Ago 21,95.482042,0.0037,0.038035,98.408708,0.039067,0.098593,96.449584,68.595135,90.13691,99.701307,0.019651,-0.275132,0.11158,0.050408,-0.007029,-0.037045,0.059026,-0.001475
Sep 21,94.461213,-0.010691,0.002031,93.096524,-0.003242,0.086515,98.180543,67.879914,89.444156,97.816637,0.037739,-0.255021,0.120775,-0.010667,0.017947,-0.010427,-0.007686,-0.018903
Oct 21,95.464677,0.010623,-0.000299,97.608403,0.001865,0.077195,97.817166,69.089865,87.560837,99.826697,0.025573,-0.23767,0.048101,0.004007,-0.003701,0.017825,-0.021056,0.020549
Nov 21,95.97098,0.005304,0.001092,96.094814,0.001124,0.069745,98.262223,69.007113,86.475645,100.903273,0.034196,-0.218485,0.00078,0.014384,0.00455,-0.001198,-0.012394,0.010784
Dic 21,97.180714,0.012605,0.01857,94.504575,0.022618,0.065692,97.779233,73.172332,87.35642,102.539147,0.031669,-0.163029,0.040404,0.024041,-0.004915,0.060359,0.010185,0.016212
Ene 22,98.408944,0.012639,0.039619,96.762098,0.041796,0.041763,100.692849,70.561939,88.698501,103.284243,0.072715,-0.021402,0.050449,0.036594,0.029798,-0.035675,0.015363,0.007266
Feb 22,98.36617,-0.000435,0.050261,93.912217,0.0483,0.044972,96.405836,69.573992,90.129971,103.616761,0.005501,-0.000791,0.028126,0.070687,-0.042575,-0.014001,0.016139,0.003219
Mar 22,99.297614,0.009469,0.036635,101.976112,0.036877,0.042133,99.418958,71.281884,92.08672,103.862984,0.034267,-0.011166,0.06338,0.030401,0.031255,0.024548,0.02171,0.002376
Abr 22,99.883059,0.005896,0.044717,100.423211,0.043302,0.042425,99.920102,72.72915,93.13438,104.580668,0.04061,0.026983,0.061743,0.044084,0.005041,0.020303,0.011377,0.00691
May 22,99.686311,-0.00197,0.048281,101.345981,0.050219,0.044013,99.790886,72.396475,88.824373,105.532805,0.030297,0.029039,0.007966,0.062975,-0.001293,-0.004574,-0.046277,0.009104
Jun 22,99.147166,-0.005408,0.04445,98.552028,0.040793,0.043481,102.301085,70.858697,89.08773,104.288582,0.06417,0.006066,0.044212,0.045109,0.025155,-0.021241,0.002965,-0.01179
Jul 22,99.821142,0.006798,0.049312,100.347101,0.049577,0.044362,101.180598,72.072442,88.055791,105.599558,0.041678,0.011771,0.034575,0.057597,-0.010953,0.017129,-0.011583,0.012571
Ago 22,100.254133,0.004338,0.049979,103.149453,0.048174,0.044855,99.939772,70.267538,88.464322,106.830368,0.036187,0.024381,-0.018556,0.071504,-0.012263,-0.025043,0.004639,0.011655
Sep 22,99.835647,-0.004174,0.056896,98.549724,0.058576,0.04635,99.992911,69.951958,87.908466,106.011338,0.01846,0.030525,-0.017169,0.083776,0.000532,-0.004491,-0.006283,-0.007667
Oct 22,99.863744,0.000281,0.046081,102.483411,0.049945,0.046715,101.632672,68.562866,86.81295,106.501,0.039007,-0.007628,-0.008541,0.066859,0.016399,-0.019858,-0.012462,0.004619
Nov 22,100.96059,0.010983,0.051991,101.191695,0.05304,0.047295,102.6243,68.464655,90.607041,106.814425,0.044392,-0.007861,0.047775,0.058582,0.009757,-0.001432,0.043704,0.002943
Dic 22,102.382589,0.014085,0.053528,99.630491,0.05424,0.047865,103.324567,69.6064,93.711512,108.003162,0.056713,-0.048733,0.072749,0.053287,0.006824,0.016676,0.034263,0.011129
Ene 23,101.929714,-0.004423,0.035777,99.935687,0.032798,0.032798,101.140828,69.740967,93.215253,107.481702,0.004449,-0.011635,0.050923,0.04064,-0.021135,0.001933,-0.005296,-0.004828
Feb 23,101.610522,-0.003131,0.032982,96.89421,0.031753,0.032283,103.4257,68.841217,93.567564,106.613144,0.072816,-0.010532,0.03814,0.028918,0.022591,-0.012901,0.00378,-0.008081
Mar 23,101.629353,0.000185,0.023482,104.259849,0.022395,0.028861,103.37451,69.493074,95.363249,105.898044,0.039787,-0.025095,0.035581,0.019594,-0.000495,0.009469,0.019191,-0.006707
Abr 23,102.122443,0.004852,0.02242,102.271494,0.018405,0.026185,103.605876,67.830461,94.216447,107.565982,0.036887,-0.067355,0.011618,0.028546,0.002238,-0.023925,-0.012026,0.01575
May 23,102.611497,0.004789,0.029344,104.564231,0.031755,0.027327,103.512326,68.358724,97.697801,107.281455,0.037292,-0.055773,0.099899,0.01657,-0.000903,0.007788,0.036951,-0.002645
Jun 23,103.032799,0.004106,0.039191,102.594827,0.041022,0.029606,103.39855,68.912359,101.344513,106.801115,0.010728,-0.027468,0.137581,0.024092,-0.001099,0.008099,0.037326,-0.004477
Jul 23,102.992904,-0.000387,0.031774,103.62606,0.032676,0.030046,99.897948,68.586355,101.224047,107.503078,-0.012677,-0.048369,0.149544,0.018026,-0.033855,-0.004731,-0.001189,0.006573
Ago 23,103.14097,0.001438,0.028795,105.767728,0.025383,0.029441,100.001142,69.4248,104.095068,106.713982,0.000614,-0.011993,0.17669,-0.001089,0.001033,0.012225,0.028363,-0.00734
Sep 23,103.806249,0.00645,0.039771,102.956451,0.044716,0.03112,99.572927,69.219196,105.662457,107.202551,-0.0042,-0.010475,0.20196,0.011237,-0.004282,-0.002962,0.015057,0.004578
Oct 23,104.809895,0.009668,0.049529,108.029283,0.054115,0.033482,99.718686,68.969091,110.231167,107.50717,-0.018832,0.005925,0.269755,0.009448,0.001464,-0.003613,0.043239,0.002842
Nov 23,103.097196,-0.016341,0.021163,103.531281,0.02312,0.03253,97.642033,68.464376,105.800625,106.593818,-0.048549,-4e-06,0.167687,-0.002065,-0.020825,-0.007318,-0.040193,-0.008496
Dic 23,103.030472,-0.000647,0.006328,99.888973,0.002594,0.030043,97.958119,67.671856,105.843343,106.244102,-0.051938,-0.027793,0.129459,-0.016287,0.003237,-0.011576,0.000404,-0.003281
Ene 24,103.627493,0.005795,0.016656,101.009378,0.010744,0.010745,99.489825,65.258539,108.325016,106.529683,-0.016324,-0.064273,0.162095,-0.008857,0.015636,-0.035662,0.023447,0.002688
Feb 24,102.023276,-0.015481,0.004062,97.288832,0.004073,0.007442,98.371305,66.8875,103.203507,105.669756,-0.04887,-0.02838,0.102984,-0.008849,-0.011243,0.024962,-0.047279,-0.008072
Mar 24,102.650913,0.006152,0.010052,105.053238,0.00761,0.007485,96.027271,67.60126,103.751659,107.014702,-0.071074,-0.027223,0.087963,0.010545,-0.023828,0.010671,0.005311,0.012728
Abr 24,101.664491,-0.009609,-0.004484,101.619977,-0.00637,0.003973,94.209001,65.712364,104.980435,105.031325,-0.090698,-0.031226,0.114247,-0.023564,-0.018935,-0.027942,0.011843,-0.018534
May 24,101.853855,0.001863,-0.007384,104.081428,-0.004617,0.002216,94.296079,68.497395,106.250182,105.14918,-0.089035,0.002029,0.087539,-0.019876,0.000924,0.042382,0.012095,0.001122
Jun 24,102.115365,0.002567,-0.008904,101.987158,-0.005923,0.000841,92.898178,68.264551,103.054932,106.835174,-0.101552,-0.0094,0.016877,0.000319,-0.014825,-0.003399,-0.030073,0.016034
Jul 24,102.716872,0.00589,-0.00268,103.50265,-0.001191,0.000546,93.377182,68.059604,107.158304,106.652744,-0.065274,-0.00768,0.058625,-0.00791,0.005156,-0.003002,0.039817,-0.001708
Ago 24,102.238184,-0.00466,-0.008753,104.567101,-0.011352,-0.000986,93.913732,68.015078,103.5037,106.817364,-0.060873,-0.020306,-0.005681,0.000969,0.005746,-0.000654,-0.034105,0.001544
Sep 24,102.866948,0.00615,-0.009049,102.46363,-0.004787,-0.001408,91.601846,67.277997,106.0094,107.594977,-0.080053,-0.028044,0.003284,0.003661,-0.024617,-0.010837,0.024209,0.00728
Oct 24,101.128618,-0.016899,-0.035123,104.386481,-0.033721,-0.004795,89.914249,67.038278,101.053756,106.501498,-0.098321,-0.027995,-0.083256,-0.009354,-0.018423,-0.003563,-0.046747,-0.010163
Nov 24,101.314904,0.001842,-0.017287,102.128568,-0.013549,0.005,90.251711,67.405751,101.298447,106.549152,-0.075688,-0.015462,-0.042553,-0.000419,0.003753,0.005482,0.002421,0.000447
Dic 24,100.097277,-0.012018,-0.028469,96.694628,-0.031979,0.002,89.377661,65.854848,99.287319,105.616487,-0.087593,-0.02685,-0.061941,-0.005907,-0.009685,-0.023008,-0.019853,-0.008753
Ene 25,100.327178,0.002297,-0.031848,96.932272,-0.040364,-0.04031,87.851204,66.652352,99.566021,106.046267,-0.116983,0.021358,-0.080858,-0.004538,-0.017079,0.01211,0.002807,0.004069
Feb 25,102.10303,0.017701,0.000782,97.364945,0.000782,-0.021,88.231386,67.105392,103.447473,107.598123,-0.103078,0.003258,0.002364,0.018249,0.004328,0.006797,0.038984,0.014634
Mar 25,101.71867,-0.003764,-0.009082,103.873636,-0.011229,-0.007,85.821524,66.358068,106.35058,106.620687,-0.10628,-0.01839,0.025049,-0.003682,-0.027313,-0.011137,0.028064,-0.009084
Abr 25,100.691237,-0.010101,-0.009573,100.780201,-0.008264,-0.016,87.272981,66.506059,99.93587,106.699032,-0.073624,0.012078,-0.048052,0.015878,0.016913,0.00223,-0.060317,0.000735
May 25,101.658581,0.009607,-0.001917,104.217765,0.00131,-0.014,86.540629,66.6616,105.356817,106.757742,-0.082246,-0.026801,-0.008408,0.015298,-0.008392,0.002339,0.054244,0.00055
Jun 25,101.281805,-0.003706,-0.008163,101.523579,-0.004545,-0.013,85.167861,66.306875,103.762007,106.935217,-0.083213,-0.028678,0.006861,0.000936,-0.015863,-0.005321,-0.015137,0.001662
Jul 25,100.11855,-0.011485,-0.025296,100.939326,-0.024766,-0.015,87.982952,66.284838,102.314817,105.095355,-0.057768,-0.026077,-0.045199,-0.014602,0.033053,-0.000332,-0.013947,-0.017205
Ago 25,100.010464,-0.00108,-0.02179,102.084966,-0.023737,-0.017,88.031753,66.939925,101.114726,105.21577,-0.062632,-0.015808,-0.023081,-0.014994,0.000555,0.009883,-0.011729,0.001146
Sep 25,99.875118,-0.001353,-0.029084,99.453138,-0.029381,-0.018,88.662473,67.165811,99.02539,105.49587,-0.032089,-0.001667,-0.065881,-0.019509,0.007165,0.003374,-0.020663,0.002662
Oct 25,100.690786,0.008167,-0.004329,103.984201,-0.003854,-0.017,89.28742,68.161676,102.995037,105.205461,-0.006971,0.016758,0.01921,-0.012169,0.007049,0.014827,0.040087,-0.002753
Nov 25,101.304239,0.006092,-0.000105,102.370598,0.00237,-0.016,89.271692,68.102952,104.283871,105.748756,-0.010859,0.010343,0.029472,-0.007512,-0.000176,-0.000862,0.012514,0.005164
Dic 25,101.429792,0.001239,0.013312,97.881345,0.012273,-0.013,89.767966,68.369591,105.518513,105.577077,0.004367,0.038186,0.062759,-0.000373,0.005559,0.003915,0.011839,-0.001623
Ene 26,100.475141,-0.009412,0.001475,96.530388,-0.004146,-0.005193,88.783596,67.235102,104.000265,104.592204,0.010613,0.008743,0.044536,-0.013712,-0.010966,-0.016593,-0.014388,-0.009328
Feb 26,100.985155,0.005076,-0.010948,96.332138,-0.010608,-0.012,89.960129,66.240339,104.375712,105.354695,0.019593,-0.012891,0.008973,-0.02085,0.013252,-0.014795,0.00361,0.00729
Mar 26,100.434038,-0.005457,-0.012629,102.403051,-0.014157,-0.012,90.491138,66.504547,101.580347,105.24179,0.054411,0.002207,-0.044854,-0.012933,0.005903,0.003989,-0.026782,-0.001072
Abr 26,102.547103,0.021039,0.018431,103.025192,0.022276,-0.003,90.269266,66.399272,108.815044,106.418068,0.034332,-0.001606,0.088849,-0.002633,-0.002452,-0.001583,0.071221,0.011177
May 26,101.847111,-0.006826,0.001855,104.524622,0.002944,-0.004,90.540817,66.149937,104.979028,106.351488,0.046223,-0.007676,-0.003586,-0.003805,0.003008,-0.003755,-0.035253,-0.000626
Jun 26,102.077332,0.00226,0.007855,102.412898,0.00876,0.0,91.073697,66.772604,108.151201,105.736197,0.069343,0.007024,0.042301,-0.011213,0.005886,0.009413,0.030217,-0.005785
Jul 26,102.536751,0.004501,0.024153,103.461358,0.024986,0.004334,89.420414,66.774473,109.130072,106.49378,0.016338,0.007387,0.066611,0.013306,-0.018153,2.8e-05,0.009051,0.007165
