periodo,INPC (índice),INPC var. mensual (%),INPC inflación anual (%),Subyacente (índice),Subyacente var. mensual (%),Subyacente inflación anual (%),Mercancías var. mensual (%),Mercancías inflación anual (%),Servicios var. mensual (%),Servicios inflación anual (%),No subyacente var. mensual (%),No subyacente inflación anual (%),Agropecuarios var. mensual (%),Agropecuarios inflación anual (%),Energéticos y tarifas var. mensual (%),Energéticos y tarifas inflación anual (%),Incidencia subyacente (p.p.),Incidencia no subyacente (p.p.)
Ago 24,136.013,0.007353,4.99286,135.053143,0.22272,3.996011,0.175758,3.020656,0.274818,5.18048,-0.700589,8.030988,-2.079737,9.450392,0.475565,6.5759,,
Sep 24,136.08,0.04926,4.580387,135.433359,0.28153,3.912806,0.205739,2.916111,0.354062,5.103044,-0.724924,6.504091,-1.645005,6.757618,0.034536,6.005473,,
Oct 24,136.828,0.549677,4.76154,135.812502,0.279949,3.803007,0.239895,2.812023,0.318223,4.975235,1.455336,7.68317,1.732067,10.921441,1.230749,4.621964,,
Nov 24,137.424,0.435583,4.548671,135.875585,0.046448,3.577505,-0.270194,2.392174,0.348787,4.904021,1.731273,7.599834,0.62265,10.740728,2.635454,4.552189,,
Dic 24,137.949,0.382029,4.212339,136.567452,0.509192,3.65039,0.400635,2.474449,0.612205,4.93531,-0.035421,5.945673,-0.640364,6.570467,0.448288,4.969694,,
Ene 25,138.343,0.285613,3.58504,137.134007,0.414853,3.660701,0.670005,2.743986,0.17324,4.694547,-0.138767,3.344698,-1.491108,0.555067,0.930838,5.334886,,
Feb 25,138.726,0.276848,3.77391,137.792658,0.480298,3.646045,0.406287,2.74926,0.550729,4.635529,-0.394453,4.078647,-1.440405,3.888917,0.412968,3.570948,,
Mar 25,139.161,0.313568,3.801141,138.386099,0.430677,3.641353,0.447925,2.978655,0.414287,4.349029,-0.078703,4.162209,0.411968,4.872229,-0.450485,2.940596,,
Abr 25,139.62,0.329834,3.933421,139.065495,0.490942,3.932992,0.688053,3.381424,0.30357,4.556379,-0.209482,3.756712,1.600084,4.133579,-1.59247,2.993318,,
May 25,140.012,0.280762,4.418773,139.476052,0.295226,4.059157,0.353782,3.674881,0.23935,4.494512,0.231761,5.342778,3.207639,6.761836,-2.116385,3.93203,,
Jun 25,140.405,0.28069,4.317429,140.02556,0.39398,4.240509,0.406717,3.908248,0.381811,4.616161,-0.100263,4.33094,-0.099031,5.043453,-0.101288,3.562209,,
