periodo,Índice total (desest.),Var. mensual total (%),Var. anual total (%),Índice construcción (desest.),Var. mensual construcción (%),Var. anual construcción (%),Índice maquinaria y equipo (desest.),Var. mensual maquinaria y equipo (%),Var. anual maquinaria y equipo (%),Índice residencial (desest.),Var. anual residencial (%),Índice no residencial (desest.),Var. anual no residencial (%),Índice maquinaria y equipo nacional (desest.),Var. anual maquinaria y equipo nacional (%),Índice equipo de transporte nacional (desest.),Var. anual equipo de transporte nacional (%),"Índice maquinaria, equipo y otros bienes nacionales (desest.)","Var. anual maquinaria, equipo y otros bienes nacionales (%)",Índice maquinaria y equipo importado (desest.),Var. anual maquinaria y equipo importado (%),Índice equipo de transporte importado (desest.),Var. anual equipo de transporte importado (%),"Índice maquinaria, equipo y otros bienes importados (desest.)","Var. anual maquinaria, equipo y otros bienes importados (%)",Índice total (original),Var. anual original total (%),Acumulado ene-mes total (%),Índice construcción (original),Var. anual original construcción (%),Acumulado ene-mes construcción (%),Índice residencial (original),Var. anual original residencial (%),Acumulado ene-mes residencial (%),Índice no residencial (original),Var. anual original no residencial (%),Acumulado ene-mes no residencial (%),Índice maquinaria y equipo (original),Var. anual original maquinaria y equipo (%),Acumulado ene-mes maquinaria y equipo (%)
Ene 98,60.82,-0.002297,0.134278,77.86,0.018843,0.078692,42.65,-0.007447,0.272754,63.98,0.054731,93.21,0.100212,62.91,0.199886,41.43,0.227556,85.6,0.183956,27.72,0.407107,46.27,0.877841,24.66,0.313799,60.46,0.11963,0.11963,75.5,0.067138,0.067138,60.93,0.04136,0.04136,91.55,0.086905,0.086905,43.04,0.24429,0.24429
Feb 98,65.22,0.072345,0.201326,81.73,0.049705,0.134194,45.94,0.07714,0.368076,66.38,0.087662,98.64,0.168997,65.46,0.254504,42.72,0.310429,89.12,0.22032,31.57,0.605799,92.15,2.541507,24.52,0.244039,64.83,0.205467,0.162461,82.32,0.142381,0.105105,66.74,0.098059,0.070249,99.47,0.177438,0.132239,44.57,0.366759,0.30372
Mar 98,66.2,0.015026,0.216465,83.53,0.022024,0.17038,46.18,0.005224,0.367486,67.66,0.119643,100.86,0.204299,68.83,0.320606,48.71,0.543409,90.15,0.20184,29.93,0.48095,53.52,1.003744,26.69,0.363822,65.92,0.288255,0.202957,83.24,0.20883,0.138848,63.96,0.16122,0.098985,104.46,0.243127,0.169107,45.86,0.494785,0.363609
Abr 98,64.37,-0.027644,0.126926,82.3,-0.014725,0.08062,43.43,-0.05955,0.22753,66.4,0.022797,99.59,0.12328,65.6,0.204996,45.49,0.399262,86.51,0.111668,25.87,0.218559,40.39,0.39903,25.4,0.189696,59.66,0.068601,0.168032,75.72,0.041827,0.11405,63.39,-0.013078,0.068818,89.29,0.089168,0.149528,41.07,0.130471,0.300499
May 98,66.86,0.038683,0.150181,83.25,0.011543,0.070464,47.05,0.083353,0.331353,66.96,0.007069,100.43,0.114774,67.61,0.241234,46.24,0.344577,91.41,0.19584,32.03,0.49883,59.22,1.04489,27.91,0.376233,62.8,0.138506,0.161999,78.64,0.078442,0.106782,57.18,0.015991,0.058736,102.27,0.120767,0.143367,44.46,0.285343,0.297393
Jun 98,64.2,-0.039785,0.085927,81.07,-0.026186,0.055462,44.88,-0.046121,0.174254,65.29,-0.003966,98.97,0.105069,65.98,0.123064,44.9,0.193197,88.7,0.092903,29.43,0.290789,43.28,0.105774,27.72,0.326316,59.46,0.104589,0.152454,74.96,0.05801,0.098711,60.57,0.002483,0.04917,90.8,0.102879,0.136809,41.52,0.216525,0.283792
Jul 98,65.2,0.015576,0.098753,82.84,0.021833,0.069455,45.17,0.006462,0.168693,66.44,0.015592,100.59,0.109775,64.61,0.054341,38.8,-0.0283,90.42,0.082226,30.9,0.387517,56.53,1.233505,28.25,0.292315,65.02,0.102034,0.144682,81.83,0.074731,0.09509,65.15,0.02052,0.044806,100.18,0.117083,0.133851,45.55,0.163474,0.264334
Ago 98,64.83,-0.005675,0.062961,82.8,-0.000483,0.039679,43.96,-0.026788,0.120857,65.97,-0.018742,101.44,0.087712,66.93,0.146062,47.44,0.269467,88.55,0.095374,26.91,0.079856,18.69,-0.467066,27.12,0.177083,67.83,0.070549,0.134154,89.92,0.048141,0.088264,72.52,-0.017876,0.035417,109.08,0.102486,0.129398,42.25,0.130284,0.246404
Sep 98,66.29,0.02252,0.09534,85.48,0.032367,0.092257,44.54,0.013194,0.106584,69.08,0.051606,103.98,0.129603,66.76,0.076774,45.23,0.055543,90.09,0.08503,28.16,0.156468,23.73,-0.322581,28.28,0.268161,68.84,0.104267,0.13049,90.78,0.101565,0.089894,88.01,0.067047,0.039951,93.83,0.139682,0.130484,43.42,0.110486,0.229721
Oct 98,65.55,-0.011163,0.07848,84.18,-0.015208,0.074273,44.22,-0.007185,0.085686,67.39,0.028698,102.95,0.113093,67.44,0.090733,46.98,0.155151,88.36,0.049032,27.33,0.079384,22.62,-0.357569,27.52,0.171064,66.66,0.071877,0.124102,87.07,0.071103,0.087867,67.94,0.021808,0.038072,108.14,0.108105,0.127994,43.01,0.07364,0.212286
Nov 98,64.23,-0.020137,0.02326,81.02,-0.037539,0.030264,44.51,0.006558,0.013203,64.71,-0.015218,99.23,0.067908,65.79,-0.015267,46.89,0.072507,87.7,-0.06553,29.0,0.091457,24.97,-0.383,29.34,0.215914,65.79,0.025086,0.114092,78.65,0.021296,0.081696,59.97,-0.028039,0.032275,99.21,0.056887,0.121118,50.9,0.032036,0.190494
Dic 98,65.2,0.015102,0.069554,81.99,0.011972,0.072887,45.1,0.013255,0.049569,65.22,0.030169,100.4,0.105849,67.65,0.065522,47.74,0.153697,87.43,0.009818,28.39,0.013205,26.71,-0.341632,27.96,0.061503,71.54,0.055162,0.108405,89.05,0.054345,0.079172,69.17,0.012441,0.030519,110.94,0.085094,0.117685,51.25,0.056483,0.176252
Ene 99,67.24,0.031288,0.105557,86.52,0.055251,0.111225,45.83,0.016186,0.07456,68.55,0.071429,106.46,0.142152,67.38,0.071054,44.7,0.078928,90.84,0.061215,29.73,0.072511,26.46,-0.428139,30.04,0.218167,65.41,0.081872,0.081872,83.56,0.106755,0.106755,64.94,0.065813,0.065813,104.06,0.136647,0.136647,44.39,0.031366,0.031366
Feb 99,67.47,0.003421,0.034499,85.92,-0.006935,0.051266,45.87,0.000873,-0.001524,67.84,0.021995,105.8,0.072587,66.07,0.009319,44.75,0.047519,88.48,-0.007181,30.83,-0.02344,37.49,-0.593163,31.47,0.283442,67.11,0.035169,0.057706,87.23,0.059645,0.082182,68.69,0.029218,0.046683,107.65,0.082236,0.108313,43.79,-0.017501,0.006506
Mar 99,68.32,0.012598,0.032024,87.0,0.01257,0.041542,47.24,0.029867,0.022954,69.0,0.019805,106.25,0.05344,64.22,-0.066977,42.83,-0.120714,87.57,-0.028619,34.82,0.163381,54.02,0.009342,32.33,0.211315,69.18,0.049454,0.054861,87.07,0.046012,0.069692,65.39,0.022358,0.038564,110.94,0.062033,0.091952,48.45,0.056476,0.023676
Abr 99,67.52,-0.01171,0.048936,85.78,-0.014023,0.042284,46.52,-0.015241,0.071149,68.09,0.025452,104.97,0.054021,65.85,0.003811,43.9,-0.034953,89.17,0.030748,31.4,0.213761,34.29,-0.151027,31.91,0.256299,62.74,0.051626,0.054092,78.56,0.037507,0.061999,64.97,0.024925,0.035174,93.53,0.047486,0.081633,44.41,0.081325,0.037241
May 99,67.37,-0.002222,0.007628,85.21,-0.006645,0.023544,46.32,-0.004299,-0.015515,66.96,0.0,104.58,0.041322,66.51,-0.01627,45.66,-0.012543,89.01,-0.026255,31.18,-0.026538,32.68,-0.448159,31.26,0.120029,63.45,0.01035,0.045334,81.03,0.030392,0.055713,57.7,0.009094,0.030397,106.73,0.04361,0.073649,43.09,-0.030814,0.023425
Jun 99,68.03,0.009797,0.059657,86.83,0.019012,0.07105,46.71,0.00842,0.040775,69.18,0.05958,106.17,0.072749,65.75,-0.003486,43.61,-0.028731,89.67,0.010936,32.56,0.106354,31.18,-0.279575,32.83,0.184343,63.11,0.061386,0.047892,80.41,0.072705,0.058421,64.38,0.062902,0.035679,98.06,0.079956,0.07464,43.07,0.037331,0.025641
Jul 99,66.53,-0.022049,0.020399,84.86,-0.022688,0.024384,45.72,-0.021195,0.012176,67.55,0.016707,103.63,0.030222,64.91,0.004643,43.18,0.112887,87.54,-0.031851,31.7,0.02589,40.02,-0.292057,30.65,0.084956,66.16,0.017533,0.043387,84.29,0.030062,0.054219,66.47,0.020261,0.033385,103.92,0.037333,0.069128,45.17,-0.008342,0.020584
Ago 99,67.35,0.012325,0.038871,84.34,-0.006128,0.018599,47.65,0.042213,0.08394,66.76,0.011975,104.03,0.025532,67.01,0.001195,44.3,-0.066189,91.41,0.032298,33.55,0.246748,37.76,1.020332,32.31,0.191372,71.32,0.051452,0.044468,92.23,0.02569,0.050223,73.91,0.019167,0.031365,112.4,0.030436,0.063766,47.11,0.11503,0.03204
Sep 99,67.14,-0.003118,0.012822,84.97,0.00747,-0.005966,46.73,-0.019307,0.049169,67.97,-0.016068,104.62,0.006155,64.42,-0.035051,43.12,-0.04665,87.83,-0.025086,33.95,0.205611,38.2,0.609777,32.8,0.15983,69.75,0.013219,0.040726,90.2,-0.006389,0.043211,86.29,-0.019543,0.023878,94.51,0.007247,0.057746,46.07,0.061032,0.035253
Oct 99,67.76,0.009234,0.033715,85.47,0.005884,0.015324,47.04,0.006634,0.063772,67.85,0.006826,105.02,0.020107,64.06,-0.050119,38.4,-0.182631,90.06,0.019239,34.36,0.257226,46.1,1.038019,32.34,0.175145,67.54,0.013201,0.037866,87.37,0.003446,0.038989,67.62,-0.00471,0.020964,109.13,0.009155,0.052433,44.56,0.036038,0.035331
Nov 99,68.53,0.011364,0.066947,88.52,0.035685,0.09257,46.04,-0.021259,0.034374,69.85,0.079431,109.04,0.098861,65.05,-0.011248,42.12,-0.101727,90.43,0.031129,32.41,0.117586,41.56,0.664397,30.99,0.056237,71.62,0.088615,0.042586,86.31,0.097394,0.0441,65.1,0.085543,0.026296,109.66,0.105332,0.057255,54.62,0.073084,0.039288
Dic 99,70.0,0.02145,0.07362,88.43,-0.001017,0.078546,48.33,0.049739,0.071619,69.06,0.058878,109.62,0.091833,68.82,0.017295,47.5,-0.005027,91.52,0.04678,33.45,0.178232,43.01,0.610258,32.04,0.145923,76.49,0.069192,0.04503,94.86,0.065244,0.046007,72.48,0.047853,0.02817,119.49,0.077069,0.059088,55.21,0.077268,0.042913
Ene 00,70.54,0.007714,0.049078,88.56,0.00147,0.023578,49.9,0.032485,0.088806,70.0,0.021152,108.94,0.023295,68.52,0.016919,48.73,0.090157,88.63,-0.024328,36.26,0.219643,50.46,0.907029,34.14,0.136485,67.99,0.039444,0.039444,85.19,0.019507,0.019507,66.26,0.020326,0.020326,106.04,0.019027,0.019027,48.06,0.082676,0.082676
Feb 00,70.75,0.002977,0.048614,90.37,0.020438,0.051792,48.39,-0.030261,0.054938,71.78,0.058078,110.79,0.047164,69.94,0.058574,48.44,0.082458,92.64,0.047016,33.07,0.072657,43.01,0.147239,32.49,0.032412,71.16,0.060349,0.05003,91.81,0.052505,0.03636,72.94,0.061872,0.041682,112.6,0.045982,0.032733,47.23,0.078557,0.080631
Mar 00,70.09,-0.009329,0.025907,88.75,-0.017926,0.020115,49.15,0.015706,0.040432,70.57,0.022754,108.72,0.023247,72.31,0.125973,51.56,0.203829,94.65,0.08085,32.64,-0.062608,49.35,-0.086449,30.83,-0.046397,71.16,0.028621,0.042687,89.31,0.025726,0.03277,67.1,0.026151,0.036579,113.78,0.025599,0.03028,50.14,0.034881,0.064408
Abr 00,72.21,0.030247,0.069461,89.5,0.008451,0.043367,52.16,0.061241,0.121238,71.44,0.0492,109.32,0.04144,73.71,0.119362,51.93,0.182916,96.8,0.085567,35.34,0.125478,62.66,0.827355,32.39,0.015042,66.12,0.053873,0.045341,81.99,0.043661,0.035313,67.77,0.043097,0.038183,97.66,0.044157,0.033399,47.74,0.074983,0.067002
May 00,71.73,-0.006647,0.064717,90.31,0.00905,0.059852,50.77,-0.026649,0.096071,71.7,0.070789,110.05,0.052304,72.48,0.089761,50.27,0.100964,96.04,0.07898,34.59,0.109365,54.79,0.676561,32.34,0.034549,69.01,0.087628,0.053524,86.06,0.062076,0.040508,62.09,0.076083,0.044981,112.45,0.053593,0.037521,49.28,0.143653,0.081738
Jun 00,71.77,0.000558,0.054976,88.92,-0.015391,0.02407,52.09,0.026,0.115179,71.27,0.030211,108.39,0.02091,72.91,0.108897,52.8,0.210731,95.12,0.060778,37.28,0.144963,69.51,1.229314,33.17,0.010356,66.63,0.055776,0.053887,82.77,0.02935,0.038706,66.56,0.033861,0.043127,100.63,0.026208,0.035734,47.93,0.11284,0.086751
Jul 00,71.97,0.002787,0.081768,87.22,-0.019118,0.027811,53.99,0.036475,0.180884,70.35,0.041451,105.68,0.019782,74.45,0.146973,55.39,0.28277,95.95,0.09607,38.75,0.222397,54.25,0.355572,36.58,0.193475,70.72,0.068924,0.056064,87.43,0.037252,0.038495,69.68,0.048292,0.043886,106.98,0.029446,0.034833,51.36,0.137038,0.094023
Ago 00,72.24,0.003752,0.072606,87.9,0.007796,0.04221,54.77,0.014447,0.149423,71.2,0.066507,106.6,0.024704,73.85,0.102074,55.28,0.247856,94.99,0.039164,40.88,0.21848,60.13,0.592426,37.85,0.171464,77.82,0.091139,0.060797,96.39,0.045105,0.039399,79.57,0.07658,0.048476,114.91,0.022331,0.033155,56.32,0.1955,0.107322
Sep 00,70.97,-0.01758,0.057045,85.64,-0.025711,0.007885,54.29,-0.008764,0.16178,70.16,0.03222,103.27,-0.012904,73.69,0.143899,53.58,0.242579,96.27,0.096095,40.15,0.182622,57.07,0.493979,37.45,0.141768,73.23,0.049892,0.059526,90.42,0.002439,0.035039,87.97,0.019469,0.044391,93.13,-0.014602,0.028311,53.31,0.157152,0.112982
Oct 00,71.83,0.012118,0.060065,85.66,0.000234,0.002223,55.8,0.027814,0.186224,70.58,0.040236,102.02,-0.028566,75.85,0.184046,53.36,0.389583,98.92,0.098379,40.98,0.192666,53.14,0.152711,38.91,0.203154,71.78,0.062778,0.059856,86.81,-0.00641,0.030788,69.81,0.032387,0.043198,105.54,-0.032897,0.021894,54.36,0.219928,0.12357
Nov 00,70.6,-0.017124,0.030206,84.15,-0.017628,-0.049367,54.58,-0.021864,0.185491,69.94,0.001288,99.43,-0.088133,72.4,0.11299,50.82,0.206553,96.46,0.066681,41.89,0.292502,59.84,0.439846,39.31,0.268474,74.46,0.039654,0.057893,82.21,-0.047503,0.023586,65.45,0.005376,0.039895,100.66,-0.082072,0.011985,65.5,0.199194,0.131754
Dic 00,68.51,-0.029603,-0.021286,81.48,-0.031729,-0.078593,53.26,-0.024185,0.102007,68.93,-0.001882,95.19,-0.131637,73.36,0.065969,49.78,0.048,98.05,0.071351,38.28,0.144395,45.57,0.059521,37.33,0.165106,73.38,-0.040659,0.048631,86.93,-0.083597,0.013745,72.06,-0.005795,0.035846,103.31,-0.135409,-0.001882,57.69,0.044919,0.123192
Ene 01,67.77,-0.010801,-0.039269,82.0,0.006382,-0.074074,51.41,-0.034735,0.030261,68.73,-0.018143,96.46,-0.114558,72.91,0.064069,48.25,-0.00985,98.75,0.114183,35.74,-0.014341,48.52,-0.038446,34.29,0.004394,65.97,-0.02971,-0.02971,78.54,-0.078061,-0.078061,65.03,-0.018563,-0.018563,93.41,-0.119106,-0.119106,51.41,0.069705,0.069705
Feb 01,67.11,-0.009739,-0.051449,80.54,-0.017805,-0.108775,51.79,0.007392,0.070262,67.59,-0.058373,94.9,-0.143424,71.1,0.016586,46.68,-0.036334,97.58,0.053325,37.23,0.125794,50.03,0.163218,35.54,0.093875,65.77,-0.075745,-0.053252,81.43,-0.11306,-0.096215,68.57,-0.059912,-0.04023,95.59,-0.151066,-0.135565,47.64,0.008681,0.039458
Mar 01,66.9,-0.003129,-0.045513,80.96,0.005215,-0.087775,51.22,-0.011006,0.042116,68.86,-0.024231,95.05,-0.125736,69.38,-0.04052,45.71,-0.11346,95.51,0.009086,37.95,0.162684,46.99,-0.047822,36.95,0.198508,67.55,-0.050731,-0.052399,81.89,-0.083081,-0.09181,65.83,-0.018927,-0.033301,99.56,-0.124978,-0.131942,50.95,0.016155,0.031424
Abr 01,65.55,-0.020179,-0.092231,77.69,-0.04039,-0.131955,51.16,-0.001171,-0.019172,66.87,-0.06397,89.74,-0.179107,70.23,-0.047212,45.7,-0.119969,97.09,0.002996,37.0,0.046972,44.36,-0.292052,36.21,0.117938,60.76,-0.081065,-0.059256,71.85,-0.123674,-0.099311,63.43,-0.06404,-0.040902,81.11,-0.169465,-0.140462,47.92,0.00377,0.02459
May 01,65.09,-0.007018,-0.092569,79.08,0.017892,-0.124349,49.74,-0.027756,-0.020288,68.27,-0.047838,91.12,-0.172013,67.74,-0.065397,44.53,-0.114183,91.18,-0.050604,36.11,0.043943,50.67,-0.075196,34.44,0.064935,62.75,-0.090711,-0.06554,75.43,-0.123518,-0.104107,59.52,-0.041392,-0.040992,92.95,-0.17341,-0.147291,48.06,-0.024756,0.01456
Jun 01,65.56,0.007221,-0.086526,79.15,0.000885,-0.109874,50.01,0.005428,-0.039931,69.06,-0.031009,90.33,-0.166621,68.78,-0.056645,45.07,-0.146402,94.43,-0.007254,36.33,-0.025483,46.92,-0.324989,35.04,0.056376,60.84,-0.086898,-0.068993,74.14,-0.104265,-0.104132,64.84,-0.025841,-0.038488,84.38,-0.161483,-0.149512,45.44,-0.051951,0.003582
Jul 01,67.07,0.023032,-0.068084,81.18,0.025648,-0.06925,50.19,0.003599,-0.070383,71.59,0.017626,92.02,-0.129258,69.73,-0.063398,44.3,-0.200217,95.91,-0.000417,35.94,-0.072516,43.31,-0.201659,34.8,-0.04866,66.62,-0.057975,-0.067379,82.35,-0.058104,-0.097476,71.66,0.028416,-0.02862,94.12,-0.120209,-0.145333,48.41,-0.057438,-0.005589
Ago 01,66.66,-0.006113,-0.077243,81.99,0.009978,-0.067235,49.06,-0.022514,-0.104254,72.57,0.019242,92.18,-0.135272,68.58,-0.071361,42.88,-0.224313,96.47,0.015581,34.77,-0.149462,50.68,-0.157159,32.76,-0.134478,71.52,-0.080956,-0.069264,89.51,-0.071377,-0.093887,81.58,0.025261,-0.020853,98.23,-0.145157,-0.14531,50.68,-0.100142,-0.018967
Sep 01,66.81,0.00225,-0.058616,81.15,-0.010245,-0.052429,50.19,0.023033,-0.07552,72.17,0.028649,90.01,-0.128401,69.21,-0.060795,45.07,-0.158828,95.43,-0.008725,35.84,-0.107347,49.21,-0.137726,33.75,-0.098798,67.72,-0.075242,-0.069955,84.85,-0.061601,-0.090198,88.57,0.006821,-0.017048,80.75,-0.132932,-0.144107,47.88,-0.101857,-0.028757
Oct 01,64.86,-0.029187,-0.097035,79.18,-0.024276,-0.075648,48.42,-0.035266,-0.132258,70.91,0.004676,87.95,-0.137914,67.65,-0.108108,44.31,-0.169603,92.82,-0.061666,34.33,-0.162274,42.37,-0.202672,32.92,-0.153945,65.47,-0.087907,-0.071781,79.63,-0.082709,-0.089458,69.5,-0.004441,-0.015808,90.79,-0.139757,-0.143675,49.06,-0.097498,-0.036146
Nov 01,65.89,0.01588,-0.066714,80.5,0.016671,-0.043375,49.03,0.012598,-0.101686,72.57,0.037604,88.97,-0.1052,68.7,-0.051105,46.69,-0.081267,92.84,-0.037529,34.31,-0.18095,52.22,-0.12734,31.88,-0.18901,69.8,-0.062584,-0.070903,78.45,-0.045737,-0.085715,67.6,0.03285,-0.0117,90.39,-0.102027,-0.140075,59.79,-0.087176,-0.041997
Dic 01,66.3,0.006222,-0.032258,80.75,0.003106,-0.008959,49.72,0.014073,-0.066466,73.78,0.070361,88.39,-0.071436,66.98,-0.086968,43.61,-0.123945,91.97,-0.062009,36.82,-0.03814,62.93,0.380952,33.35,-0.106617,71.08,-0.031344,-0.067502,85.99,-0.010813,-0.079498,76.87,0.06675,-0.005028,96.04,-0.070371,-0.134394,53.82,-0.067083,-0.044298
Ene 02,64.52,-0.026848,-0.047956,77.83,-0.036161,-0.050854,49.53,-0.003821,-0.036569,70.8,0.030118,85.21,-0.116629,67.63,-0.072418,44.88,-0.069845,91.19,-0.076557,35.99,0.006995,58.93,0.214551,33.12,-0.034121,62.37,-0.05457,-0.05457,74.15,-0.055895,-0.055895,66.93,0.029217,0.029217,82.09,-0.121186,-0.121186,48.72,-0.052324,-0.052324
Feb 02,64.0,-0.00806,-0.046342,76.58,-0.016061,-0.049168,49.71,0.003634,-0.040162,70.31,0.040243,83.53,-0.11981,67.6,-0.049226,45.85,-0.017781,91.46,-0.062718,36.24,-0.026591,53.59,0.071157,33.87,-0.046989,62.29,-0.052912,-0.053742,77.14,-0.052683,-0.05426,71.5,0.04273,0.036153,83.35,-0.128047,-0.124656,45.1,-0.053317,-0.052802
Mar 02,62.38,-0.025312,-0.067564,74.18,-0.03134,-0.083745,48.46,-0.025146,-0.053885,67.85,-0.014667,82.2,-0.135192,67.82,-0.022485,47.26,0.033909,89.57,-0.062192,33.95,-0.105402,59.11,0.257927,31.32,-0.152368,59.11,-0.124944,-0.077876,73.16,-0.106606,-0.071984,63.26,-0.03904,0.011332,84.06,-0.155685,-0.135362,42.84,-0.159176,-0.088933
Abr 02,63.59,0.019397,-0.029901,77.84,0.049339,0.001931,47.56,-0.018572,-0.070367,70.39,0.052639,86.35,-0.037776,66.35,-0.055247,46.75,0.022976,87.16,-0.102276,33.89,-0.084054,60.78,0.370153,30.54,-0.156587,63.74,0.049045,-0.048221,76.06,0.058594,-0.042077,70.73,0.115087,0.036369,81.93,0.01011,-0.103444,49.47,0.032346,-0.05957
May 02,64.62,0.016198,-0.007221,78.13,0.003726,-0.012013,49.1,0.03238,-0.012867,71.5,0.047312,85.9,-0.057287,68.12,0.00561,46.97,0.054795,90.03,-0.012612,35.62,-0.01357,59.44,0.173081,32.12,-0.067364,62.29,-0.007331,-0.040273,74.63,-0.010606,-0.035977,62.94,0.05746,0.040263,87.5,-0.058634,-0.09444,47.99,-0.001457,-0.048215
Jun 02,64.02,-0.009285,-0.02349,78.12,-0.000128,-0.013013,47.61,-0.030346,-0.04799,70.79,0.025051,86.23,-0.045389,66.55,-0.032422,45.53,0.010206,89.61,-0.051043,33.98,-0.064685,59.32,0.26428,30.32,-0.134703,59.02,-0.029915,-0.03863,73.67,-0.006339,-0.031234,67.0,0.033313,0.039099,81.02,-0.03982,-0.086015,42.06,-0.074384,-0.052296
Jul 02,64.84,0.012808,-0.033249,79.29,0.014977,-0.023282,48.02,0.008612,-0.043236,71.96,0.005168,87.65,-0.04749,67.08,-0.038004,47.02,0.0614,89.83,-0.063393,33.91,-0.056483,65.59,0.514431,29.93,-0.139943,65.62,-0.015011,-0.035135,80.86,-0.018094,-0.029251,72.24,0.008094,0.034257,90.36,-0.039949,-0.079252,47.98,-0.008882,-0.046111
Ago 02,65.01,0.002622,-0.024752,80.47,0.014882,-0.018539,47.29,-0.015202,-0.036078,73.98,0.01943,87.3,-0.05294,66.06,-0.036745,45.55,0.062267,88.82,-0.079299,33.39,-0.039689,57.35,0.13161,30.0,-0.084249,68.48,-0.042506,-0.036146,86.1,-0.038096,-0.030497,81.9,0.003923,0.029678,90.73,-0.076351,-0.078867,48.08,-0.051302,-0.046785
Sep 02,66.31,0.019997,-0.007484,81.88,0.017522,0.008996,48.09,0.016917,-0.041841,74.39,0.030761,89.61,-0.004444,67.34,-0.027019,43.86,-0.026847,92.56,-0.030074,33.65,-0.061105,56.5,0.148141,30.49,-0.096593,67.03,-0.010189,-0.033164,84.63,-0.002593,-0.027209,88.97,0.004516,0.026135,79.86,-0.011022,-0.072186,46.65,-0.025689,-0.044481
Oct 02,65.94,-0.00558,0.016651,82.01,0.001588,0.035741,47.82,-0.005614,-0.012392,74.64,0.052602,89.95,0.02274,65.42,-0.032964,44.41,0.002257,88.56,-0.045895,34.81,0.013982,66.36,0.566203,30.92,-0.060753,66.76,0.019704,-0.027879,82.5,0.036042,-0.02091,72.81,0.047626,0.028274,93.16,0.026104,-0.06239,48.53,-0.010803,-0.041091
Nov 02,66.78,0.012739,0.013507,83.02,0.012316,0.031304,48.47,0.013593,-0.011422,75.72,0.043406,90.87,0.021356,67.0,-0.024745,43.79,-0.062112,92.63,-0.002262,34.26,-0.001457,56.85,0.088663,31.29,-0.018507,70.44,0.009169,-0.024311,80.22,0.022562,-0.017026,69.74,0.031657,0.028572,91.75,0.015046,-0.055399,59.11,-0.011373,-0.037844
Dic 02,65.96,-0.012279,-0.005128,82.46,-0.006745,0.021176,46.68,-0.03693,-0.061142,75.64,0.02521,89.94,0.017536,62.88,-0.061212,38.36,-0.120385,89.09,-0.031315,34.63,-0.059479,54.57,-0.132846,32.04,-0.03928,71.0,-0.001125,-0.02224,88.09,0.024421,-0.013329,78.72,0.024067,0.028161,98.41,0.024677,-0.048391,51.2,-0.048681,-0.038815
Ene 03,65.94,-0.000303,0.022009,82.34,-0.001455,0.057947,47.4,0.015424,-0.043004,75.66,0.068644,89.04,0.044948,63.25,-0.064764,43.72,-0.025847,82.66,-0.093541,35.42,-0.015838,51.42,-0.127439,33.54,0.012681,63.68,0.021004,0.021004,78.76,0.062171,0.062171,72.17,0.078291,0.078291,86.01,0.047752,0.047752,46.22,-0.051314,-0.051314
Feb 03,67.44,0.022748,0.05375,84.06,0.020889,0.097676,48.14,0.015612,-0.031583,77.87,0.107524,90.81,0.087154,63.59,-0.05932,42.36,-0.076118,87.09,-0.04778,36.5,0.007174,57.53,0.073521,33.84,-0.000886,65.25,0.04752,0.034253,84.48,0.095152,0.078987,79.45,0.111189,0.095283,90.02,0.080024,0.064011,42.98,-0.047007,-0.049243
Mar 03,66.1,-0.01987,0.059634,80.78,-0.03902,0.088973,49.13,0.020565,0.013826,73.01,0.07605,89.87,0.093309,63.48,-0.063993,40.57,-0.141557,88.56,-0.011276,38.44,0.132253,48.11,-0.186094,37.07,0.183589,66.15,0.1191,0.061544,83.1,0.135867,0.097527,72.03,0.138634,0.10888,95.28,0.133476,0.087415,46.53,0.086134,-0.006805
Abr 03,66.83,0.011044,0.050951,81.77,0.012256,0.050488,49.75,0.01262,0.046047,74.62,0.060094,89.58,0.037406,64.75,-0.024115,40.19,-0.140321,91.92,0.054612,38.5,0.136028,51.24,-0.15696,37.01,0.211853,64.53,0.012394,0.048887,78.93,0.037733,0.082393,74.24,0.049625,0.093495,84.11,0.026608,0.072383,47.84,-0.032949,-0.013754
May 03,65.88,-0.014215,0.019499,79.92,-0.022624,0.022911,49.74,-0.000201,0.013035,73.25,0.024476,87.58,0.019558,64.17,-0.057986,40.82,-0.130935,88.32,-0.018994,39.46,0.107805,48.87,-0.177826,37.64,0.171856,63.39,0.017659,0.042608,76.63,0.026799,0.071333,65.34,0.038132,0.083105,89.07,0.017943,0.061013,48.04,0.001042,-0.010721
Jun 03,66.54,0.010018,0.039363,81.05,0.014139,0.037506,49.44,-0.006031,0.038437,74.04,0.04591,88.55,0.026905,65.16,-0.020887,41.57,-0.086976,90.14,0.005915,38.14,0.122425,51.62,-0.129804,36.28,0.19657,62.04,0.051169,0.043978,76.74,0.041672,0.066465,70.43,0.051194,0.077791,83.68,0.032831,0.056446,45.03,0.070613,0.001666
Jul 03,66.39,-0.002254,0.023905,81.44,0.004812,0.027116,49.13,-0.00627,0.023115,75.1,0.043635,88.79,0.013006,62.89,-0.062463,39.27,-0.164823,88.41,-0.015808,38.71,0.141551,63.43,-0.032932,35.45,0.18443,67.28,0.025297,0.041156,83.16,0.028444,0.06066,75.29,0.04222,0.072377,91.82,0.016158,0.050279,48.9,0.019175,0.004257
