periodo,Primarias,Secundarias,Terciarias,Var. trim. Terciarias (%),Var. anual Terciarias (%),PIB,Var. trim. PIB (%),Var. anual PIB (%),Var. trim. Primarias (%),Var. anual Primarias (%),Var. trim. Secundarias (%),Var. anual Secundarias (%)
1T-04,611624.318,6554326.55,9862624.974,-0.010066,0.025101,18185015.464,0.007712,0.032676,-0.051106,0.075597,0.022531,0.039006
2T-04,617553.614,6609349.025,10335537.363,0.04795,0.036625,18770260.284,0.032183,0.038025,0.009694,0.009772,0.008395,0.043047
3T-04,527377.817,6742820.624,10081493.197,-0.02458,0.037635,18461379.994,-0.016456,0.033721,-0.146021,-0.032571,0.020194,0.033628
4T-04,672710.48,6648645.08,10373351.197,0.02895,0.041197,18733374.373,0.014733,0.038098,0.275576,0.043665,-0.013967,0.037245
1T-05,571083.781,6572652.179,9933962.397,-0.042357,0.007233,18271688.439,-0.024645,0.004766,-0.15107,-0.066283,-0.01143,0.002796
2T-05,585893.331,6806175.828,10570524.987,0.064079,0.022736,19218715.204,0.05183,0.023892,0.025932,-0.051267,0.03553,0.02978
3T-05,548932.541,6850231.405,10346635.468,-0.021181,0.0263,18883270.709,-0.017454,0.022853,-0.063085,0.040872,0.006473,0.01593
4T-05,648324.155,6930016.648,10683835.504,0.03259,0.029931,19343329.136,0.024363,0.03256,0.181063,-0.036251,0.011647,0.04232
1T-06,592797.559,6987515.165,10520692.475,-0.01527,0.059063,19362570.756,0.000995,0.059703,-0.085646,0.038022,0.008297,0.06312
2T-06,644430.093,7129368.379,11022835.038,0.047729,0.04279,20116112.951,0.038917,0.046694,0.0871,0.09991,0.020301,0.047485
3T-06,543977.743,7275187.19,10814056.779,-0.018941,0.045176,19836008.957,-0.013924,0.050454,-0.155878,-0.009026,0.020453,0.062035
4T-06,714400.251,7138741.964,11045940.648,0.021443,0.033893,20040523.076,0.01031,0.036043,0.313289,0.101918,-0.018755,0.030119
1T-07,618831.402,7116558.066,10748620.36,-0.026917,0.021665,19745597.365,-0.014716,0.019782,-0.133775,0.043917,-0.003108,0.018468
